Date,Effort,Developers,Milestones
31/01/2018,2,wv116,DefineInitialMilestones
03/02/2018,3,,LEXER_CODELABREVIEW
04/02/2018,2,,LEXER_SIMPLE_TESTING
05/02/2018,4,,PARSER_CODELABREVIEW; PARSER_SIMPLE
07/02/2018,3,,PARSER_CODELABREVIEW
09/02/2018,1,,LEXER_SIMPLE; PARSER_SIMPLE
12/02/2018,4,,LEXER_SIMPLE; PARSER_SIMPLE
13/02/2018,0.15,,
14/02/2018,2,,LEXER_SIMPLE; PARSER_SIMPLE
16/02/2018,3,,LEXER_SIMPLE; PARSER_SIMPLE
17/02/2018,5,,LEXER_SIMPLE; PARSER_SIMPLE
18/02/2018,3,,LEXER_SIMPLE; PARSER_SIMPLE;TESTING
19/02/2018,2,,LEXER_PARSER_INTER1; 
21/02/2018,3,,LEXER_PARSER_INTER1
22/02/2018,1.5,,LEXER_PARSER_INTER1
23/02/2018,3,,LEXER_PARSER_INTER1
24/02/2018,7,,LEXER_PARSER_INTER2; CODEGEN_SIMPLEPYTHON
25/02/2018,4,,LEXER_PARSER_INTER2; CODEGEN_SIMPLEPYTHON
26/02/2018,3,,LEXER_PARSER_INTER2; CODEGEN_PYTHONTESTS
27/02/2018,2,,LEXER_PARSER_INTER2; CODEGEN_SIMPLEPYTHON